ResourceGroup,Resource Name,Tag Master Value based on ResourceGroup Match,Tag Master Value based on ResourceName Match
HCC,asausprodhcc,HCC,HCC
Shared-Services,storausdeploytest,Shared,
Shared-Services,Tenant,Shared,
shared-services,aspausiso,Shared,
Test,storwederan,pb3Test,
azureapp-auto-alerts-c293b5-matthew_mottram_magicorange_co_za,azureapp-auto,,
azureapp-auto-alerts-03a08d-matthew_mottram_magicorange_co_za,azureapp-auto,,
defaultresourcegroup-eau,defaultworkspace-1f90e369-ce2d-4b4a-91fc-120f955104ba-eau,,
Shared-Services,mlswausprod,Shared,
Shared-Services,AUS-Automation-Account,Shared,
Shared-Services,storausmlswprod,Shared,
$system,$system,,
management,omsweprodaad,,
powerbi,stornepbi,,
loadtesting,ltnedev,,
Shared-Services,storusmlswprod,Shared,
defaultresourcegroup-eus,defaultworkspace-1b0da0c4-bde9-4d18-8415-d54931354702-eus,,
Shared-Services,US-Automation-Account,Shared,
Shared-Services,mlswusprod,Shared,
Shared-Services,wspusmlswprod,Shared,
shared-services,storusprodapifa,Shared,
us-monitoring,storusallsql,,
shared_services,storweqabnfdevfa,Shared,qa bnf
Shared_Services,storwerobotpw,Shared,
Shared_Services,cdnwedev,Shared,
,AppServices,,
shared_services,storwedevapp,Shared,
shared_services,storwedevqsyncruns,Shared,
Shared_Services,MagicOrange_QA_v3.13_MD,Shared,
Shared_Services,pewedev,Shared,
dataflows_dev,dataflowsgen2storagedev,,
defaultresourcegroup-weu,defaultworkspace-194b6059-be2c-4414-9ed1-988bd45188f2-weu,,
shared_services,storwedevqruns,Shared,
shared_services,storwedevqrequests,Shared,
Shared_Services,aiwawedevqa,Shared,
shared_services,storweqacloudfa,Shared,qa cloud
shared_services,acwedev,Shared,
shared_services,storweqa314fa,Shared,qa314
pb3test,storwepb3test,pb3Test,pb3Test
rg-databricks-poc,storwepoc01,,
shared_services,storweqa313fa,Shared,qa313
pb3test,storwepb3testfa,pb3Test,pb3Test
databricks-rg-azdbrpoc01-6aaqcgvp5baf2,dbstoragegzfrj2mkqwhee,,
shared_services,storweqamultidimdevfa,Shared,QAmultidim
shared_services,storweqamultidimhybridfa,Shared,QAmultidim
shared_services,storwedevqvalidations,Shared,
shared_services,storwedev,Shared,
shared_services,storfawedevmoapicloud,Shared,
dataflows_dev,storwetestdelete,,
shared_services,storwedevapi,Shared,
shared_services,privatelink.redis.cache.windows.net,Shared,
rg-databricks-poc,storwedevdatabricks,,
shared_services,aspwedevq-requests,Shared,
shared_services,storweqaautofa,Shared,qaauto
shared_services,storwedevrequests,Shared,
shared_services,storwedevgg,Shared,
Shared_Services,aifawedev-databaseaccess,Shared,
Shared_Services,aswedevtestconcat,Shared,
,VirtualMachines,,
shared_services,storwedevapitest,Shared,
shared_services,wawedevapitest,Shared,
shared_services,privatelink.azurewebsites.net,Shared,
DataFactoryDevResourceGroup,storwedevpbdatafactory,,
machinelearningresourcegroup,RateComponentMLWorkspace,,
PBDevResourceGroup,storwepbdevsqlbackup,,
AzureML_ResourceGroup,moazuremlstorage,,
machinelearningresourcegroup,ratecomponentm3528236087,,
MLFunctionAppResourceGroup,storageaccountmlfun96e6,,
