Tag Value,Tag Master Value,Tag Master Name
ABSACF,ABSACF,Client
ABSACLOUD313,ABSACLOUD313,Client
ABSACLOUDQA,ABSACLOUDQA,Client
ABSARBB,ABSARBB,Client
ARM,ARM,Client
ABSA,Absa,Client
Absa,Absa,Client
Alexander Forbes,Alexander Forbes,Client
Blue Label Telecoms,Blue Label Telecoms,Client
CCBA,CCBA,Client
ccba,CCBA,Client
CCBACloud,CCBACloud,Client
Carlisle,Carlisle,Client
Discovery,Discovery,Client
Edcon,Edcon,Client
Ellix,Ellix,Client
Exxaro,Exxaro,Client
HC,HC,Client
HCC,HCC,Client
Internal,Internal,Client
Internal - Cloud,Internal - Cloud,Client
Internal - Multi-Dim,Internal - Multi-Dim,Client
Internal - Pentest,Internal - Pentest,Client
Internal - Scenarios,Internal - Scenarios,Client
Investec,Investec,Client
KMOD,KMOD,Client
Liberty,Liberty,Client
Massmart,Massmart,Client
NTT,NTT,Client
National Life,National Life,Client
OECD,OECD,Client
oecd,OECD,Client
OLD MUTUAL,Old Mutual,Client
Old Mutual,Old Mutual,Client
OldMutual,Old Mutual,Client
Pentest,Pentest,Client
QAmultidim,QAmultidim,Client
qamultidim,QAmultidim,Client
RMB,RMB,Client
SANDBOX,SANDBOX,Client
SPAR,SPAR,Client
Spar,SPAR,Client
SPARCLOUD,SPARCLOUD,Client
sparcloud,SPARCLOUD,Client
Sanlam,Sanlam,Client
Shared,Shared,Client
Shared Services,Shared Services,Client
STANLIB,Stanlib,Client
Stanlib,Stanlib,Client
stanlib,Stanlib,Client
Suncorp,Suncorp,Client
TFG,TFG,Client
Vitality,Vitality,Client
pb3Test,pb3Test,Client
pb3test,pb3Test,Client
qa bnf,qa bnf,Client
qabnf,qa bnf,Client
qa cloud,qa cloud,Client
qacloud,qa cloud,Client
QA multidim hybrid,qa multidim hybrid,Client
qa multidim hybrid,qa multidim hybrid,Client
QA313,qa313,Client
qa313,qa313,Client
QA314,qa314,Client
qa314,qa314,Client
qaauto,qaauto,Client
Dedicated,Dedicated,Type
Shared,Shared,Type
